ID,Type,SKU,Name,Published,Featured,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Sale price,Categories,Tags,Images
,simple,FACETEA-001,Green Tea Brightening Serum,1,0,visible,"Antioxidant-rich serum with matcha extract.","Antioxidant-rich serum with matcha extract. Visibly brightens and evens skin tone in 2 weeks.",taxable,1,,0,0,24.99,,Serums,,
,simple,FACETEA-002,Chamomile Calming Face Wash,1,0,visible,"Gentle foam cleanser with chamomile and calendula.","Gentle foam cleanser with chamomile and calendula. Soothes redness and removes impurities.",taxable,1,,0,0,14.99,,Cleansers,,
,simple,FACETEA-003,White Tea Eye Cream,1,0,visible,"Delicate eye cream with white tea peptides.","Delicate eye cream with white tea peptides. Reduces dark circles and fine lines overnight.",taxable,0,,0,0,34.99,,Treatments,,
,simple,FACETEA-004,Oolong Hydrating Day Cream,1,0,visible,"Lightweight SPF 30 moisturiser with oolong polyphenols.","Lightweight SPF 30 moisturiser with oolong polyphenols. Hydrates and shields all day.",taxable,1,,0,0,29.99,,Moisturisers,,
,simple,FACETEA-005,Daily Wash Pods — Starter Pack (6 pods),1,1,visible,"One pod = one perfect wash. pH-balanced foam cleanser pods. ~30-day supply.","One pod dissolves into a rich skin-loving foam in seconds. pH-balanced paraben-free biodegradable wrapper. Approx 30-day supply when used once daily. TSA-compliant.",taxable,1,,0,0,34.99,,Cleansers,"pods,starter,bestseller",
,simple,FACETEA-006,Daily Wash Pods — 3-Month Supply (18 pods),1,0,visible,"Stock up and save 24%. 18 pods for 90 days of your cleanest routine.","Stock up and save 24%. Same great daily foaming pod 18 in the pack — enough for 90 days of your cleanest morning routine. Free shipping included.",taxable,1,,0,0,79.99,,Cleansers,"pods,bundle,value",
,simple,FACETEA-007,Matcha Antioxidant Face Mask,1,0,visible,"Weekly treatment mask with ceremonial-grade matcha.","Weekly treatment mask packed with ceremonial-grade matcha. Draws out impurities and leaves skin visibly refreshed. Use 1–2 times per week.",taxable,1,,0,0,22.99,,Treatments,,
,simple,FACETEA-008,Black Tea Firming Toner,1,0,visible,"Alcohol-free toner with black tea polyphenols and hyaluronic acid.","Alcohol-free toner with black tea polyphenols and hyaluronic acid. Tightens pores and preps skin for serums. Apply after cleansing morning and night.",taxable,1,,0,0,19.99,,Toners,,
,simple,FACETEA-009,Rooibos Overnight Repair Cream,1,0,visible,"Rich overnight cream with rooibos extract and niacinamide.","Rich overnight cream with rooibos extract and niacinamide. Wake up to visibly smoother calmer skin. Apply as the final step in your evening routine.",taxable,1,,0,0,27.99,,Moisturisers,,
,simple,FACETEA-010,Travel Pod Case,1,0,visible,"Silicone zip pouch for FaceTea pods. Holds up to 6 pods.","Silicone zip pouch designed to hold up to 6 FaceTea pods. Keeps pods dry and secure in your gym bag or carry-on. Food-grade silicone — dishwasher safe.",taxable,1,,0,0,9.99,,Accessories,,
